OpenJDK 64-Bit Server VM (25.362-b08) for windows-amd64 JRE (1.8.0_362-b08), built on Jan 13 2023 13:30:12 by "Administrator" with MS VC++ 12.0 (VS2013)
3.310: [GC (Allocation Failure) [PSYoungGen: 29665K->1120K(29696K)] 53098K->24569K(62464K), 0.0008105 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.404: [GC (Allocation Failure) [PSYoungGen: 27744K->1568K(28672K)] 51193K->25025K(61440K), 0.0006119 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.515: [GC (Allocation Failure) [PSYoungGen: 27680K->2721K(29184K)] 51137K->26186K(61952K), 0.0013485 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.607: [GC (Allocation Failure) [PSYoungGen: 28833K->3041K(29696K)] 52298K->27282K(62464K), 0.0010183 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.700: [GC (Allocation Failure) [PSYoungGen: 29665K->3041K(29696K)] 53906K->28227K(62464K), 0.0008962 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.809: [GC (Allocation Failure) [PSYoungGen: 29665K->3041K(29696K)] 54851K->30612K(62464K), 0.0010524 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.907: [GC (Allocation Failure) [PSYoungGen: 29665K->3041K(29696K)] 57236K->33029K(62464K), 0.0009101 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.908: [Full GC (Ergonomics) [PSYoungGen: 3041K->0K(29696K)] [ParOldGen: 29988K->5888K(32768K)] 33029K->5888K(62464K), [Metaspace: 2888K->2888K(1056768K)], 0.0025040 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.014: [GC (Allocation Failure) [PSYoungGen: 26624K->3041K(29696K)] 32512K->12771K(62464K), 0.0012007 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.109: [GC (Allocation Failure) [PSYoungGen: 29665K->128K(29696K)] 39395K->9866K(62464K), 0.0007708 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.204: [GC (Allocation Failure) [PSYoungGen: 26752K->3041K(29696K)] 36490K->17942K(62464K), 0.0015962 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.357: [GC (Allocation Failure) [PSYoungGen: 29665K->1472K(29696K)] 44566K->16381K(62464K), 0.0007699 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.451: [GC (Allocation Failure) [PSYoungGen: 28096K->1952K(29696K)] 43005K->16869K(62464K), 0.0013875 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.560: [GC (Allocation Failure) [PSYoungGen: 28576K->3041K(29696K)] 43493K->18398K(62464K), 0.0007301 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.653: [GC (Allocation Failure) [PSYoungGen: 29665K->2977K(29696K)] 45022K->18358K(62464K), 0.0006867 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.763: [GC (Allocation Failure) [PSYoungGen: 29601K->3041K(29184K)] 44982K->19775K(61952K), 0.0008607 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.856: [GC (Allocation Failure) [PSYoungGen: 29153K->2529K(28160K)] 45887K->22320K(60928K), 0.0007712 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.950: [GC (Allocation Failure) [PSYoungGen: 28129K->3041K(29184K)] 47920K->25217K(61952K), 0.0009833 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.060: [GC (Allocation Failure) [PSYoungGen: 29153K->3041K(28672K)] 51329K->28675K(61440K), 0.0009386 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.154: [GC (Allocation Failure) [PSYoungGen: 28638K->3041K(29696K)] 54272K->31460K(62464K), 0.0009631 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.155: [Full GC (Ergonomics) [PSYoungGen: 3041K->0K(29696K)] [ParOldGen: 28419K->6081K(32768K)] 31460K->6081K(62464K), [Metaspace: 2888K->2888K(1056768K)], 0.0037759 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.264: [GC (Allocation Failure) [PSYoungGen: 26604K->3041K(29696K)] 32686K->13797K(62464K), 0.0014966 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.357: [GC (Allocation Failure) [PSYoungGen: 29665K->480K(29696K)] 40421K->11243K(62464K), 0.0003659 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.499: [GC (Allocation Failure) [PSYoungGen: 27075K->1888K(28672K)] 37839K->12660K(61440K), 0.0011099 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.608: [GC (Allocation Failure) [PSYoungGen: 28000K->3041K(28672K)] 38772K->14061K(61440K), 0.0008805 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.704: [GC (Allocation Failure) [PSYoungGen: 28618K->2529K(27648K)] 39638K->13685K(60416K), 0.0009606 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.812: [GC (Allocation Failure) [PSYoungGen: 27616K->3041K(27648K)] 38772K->14269K(60416K), 0.0009266 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.905: [GC (Allocation Failure) [PSYoungGen: 27592K->1888K(26112K)] 38820K->13124K(58880K), 0.0007238 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.999: [GC (Allocation Failure) [PSYoungGen: 25929K->1312K(25088K)] 37165K->12556K(57856K), 0.0008794 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.108: [GC (Allocation Failure) [PSYoungGen: 24853K->224K(25600K)] 36097K->11483K(58368K), 0.0005811 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.155: [GC (Allocation Failure) [PSYoungGen: 23264K->3041K(26112K)] 34523K->15878K(58880K), 0.0009277 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.249: [GC (Allocation Failure) [PSYoungGen: 26065K->3009K(29696K)] 38902K->15878K(62464K), 0.0008888 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.359: [GC (Allocation Failure) [PSYoungGen: 29612K->3041K(29696K)] 42481K->17775K(62464K), 0.0010923 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.454: [GC (Allocation Failure) [PSYoungGen: 29664K->3041K(29696K)] 44397K->20576K(62464K), 0.0011791 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.549: [GC (Allocation Failure) [PSYoungGen: 29650K->3041K(29696K)] 47185K->25378K(62464K), 0.0012070 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.658: [GC (Allocation Failure) [PSYoungGen: 29659K->3041K(29696K)] 51996K->30605K(62464K), 0.0014192 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.660: [Full GC (Ergonomics) [PSYoungGen: 3041K->0K(29696K)] [ParOldGen: 27563K->8706K(32768K)] 30605K->8706K(62464K), [Metaspace: 2888K->2888K(1056768K)], 0.0028421 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.798: [GC (Allocation Failure) [PSYoungGen: 26596K->2016K(29696K)] 35302K->10723K(62464K), 0.0003361 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.908: [GC (Allocation Failure) [PSYoungGen: 28617K->2369K(28672K)] 37324K->11083K(61440K), 0.0006768 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.002: [GC (Allocation Failure) [PSYoungGen: 28481K->3041K(28672K)] 37195K->12324K(61440K), 0.0006271 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.111: [GC (Allocation Failure) [PSYoungGen: 28616K->2529K(27648K)] 37899K->13805K(60416K), 0.0081776 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
7.205: [GC (Allocation Failure) [PSYoungGen: 27600K->3041K(28672K)] 38876K->14549K(61440K), 0.0012496 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.313: [GC (Allocation Failure) [PSYoungGen: 28615K->3041K(29696K)] 40123K->15742K(62464K), 0.0010686 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.408: [GC (Allocation Failure) [PSYoungGen: 29654K->3041K(29696K)] 42355K->17871K(62464K), 0.0009163 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.504: [GC (Allocation Failure) [PSYoungGen: 29636K->3041K(29696K)] 44466K->21921K(62464K), 0.0011628 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.613: [GC (Allocation Failure) [PSYoungGen: 29665K->1152K(29696K)] 48545K->20055K(62464K), 0.0004745 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
