OpenJDK 64-Bit Server VM (25.362-b08) for windows-amd64 JRE (1.8.0_362-b08), built on Jan 13 2023 13:30:12 by "Administrator" with MS VC++ 12.0 (VS2013)
1.289: [GC (Allocation Failure) [PSYoungGen: 13141K->4930K(14336K)] 40574K->32379K(58368K), 0.0007161 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.290: [GC (Allocation Failure) [PSYoungGen: 12084K->3873K(14336K)] 39533K->31339K(58368K), 0.0009682 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.336: [GC (Allocation Failure) [PSYoungGen: 11028K->2817K(14336K)] 38493K->30298K(58368K), 0.0008575 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.399: [GC (Allocation Failure) [PSYoungGen: 9955K->704K(14336K)] 37436K->28201K(58368K), 0.0004732 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.400: [GC (Allocation Failure) [PSYoungGen: 7858K->7139K(14336K)] 35355K->35300K(58368K), 0.0012276 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.402: [GC (Allocation Failure) [PSYoungGen: 14293K->6787K(14336K)] 42455K->34948K(58368K), 0.0008896 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.447: [GC (Allocation Failure) [PSYoungGen: 13941K->5730K(14336K)] 42103K->33900K(58368K), 0.0008455 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.494: [GC (Allocation Failure) [PSYoungGen: 12885K->4674K(14336K)] 41054K->32859K(58368K), 0.0008372 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.495: [GC (Allocation Failure) [PSYoungGen: 11828K->3617K(14336K)] 40014K->31819K(58368K), 0.0005874 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.542: [GC (Allocation Failure) [PSYoungGen: 10772K->2561K(14336K)] 38973K->30778K(58368K), 0.0007675 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.590: [GC (Allocation Failure) [PSYoungGen: 9715K->1504K(14336K)] 37933K->29738K(58368K), 0.0008064 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.591: [GC (Allocation Failure) [PSYoungGen: 8666K->608K(14336K)] 36900K->28857K(58368K), 0.0005288 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
